comment_id,video_id,video_title,channel_title,author,comment_text,published_at,like_count,reply_count,service_category,clean_text,tokens_analisis,topic_category,sentiment_label,sentiment_score
UgxlQz8uku2WIMEKP_R4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@nikauryish,¿CÓMO ELIMINO MI CUENTA?,2022-01-19T02:36:47Z,1,0,Facturación y Tarifas,co mo elimino mi cuenta,elimino cuenta,Experiencia General de Marca,NEUTRO,0.6
UgyxCawGHZFLV9tyBuR4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@mrgaming1545,Ehhh tengo una duda como hacer recargas desde mí claro app,2022-01-18T00:56:46Z,0,0,Facturación y Tarifas,ehhh tengo una duda como hacer recargas desde mi claro app,ehhh duda hacer recargas app,Facturación y Tarifas,NEUTRO,0.6
Ugy9XnUYRqv4XHgYSnN4AaABAg,EkLg289O9Ho,Configurar APN 3G/4G Claro Republica Dominicana - 2021,Claro RD,@j_king_santana7493,Reina en el móvil que lo puse me dice formato no soportado 😏,2021-12-17T19:55:37Z,1,0,Red Móvil y Cobertura 5G,reina en el mo vil que lo puse me dice formato no soportado,reina vil puse dice formato soportado,Experiencia General de Marca,NEUTRO,0.6
UgxhrBcXAFRw1x-hQ1h4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@andresitobeltran5518,Espero alguna respuesta,2021-12-17T14:27:16Z,0,0,Facturación y Tarifas,espero alguna respuesta,espero alguna respuesta,Experiencia General de Marca,NEUTRO,0.6
Ugxjs2Uh_duK0rXUIFt4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@andresitobeltran5518,Hola buenos días una pregunta tengo un gran inconveniente quedó mal registrado mi correo electrónico y no me deja entrar a la página de claro que puedo hacer gracias,2021-12-17T14:26:54Z,2,2,Facturación y Tarifas,hola buenos di as una pregunta tengo un gran inconveniente quedo mal registrado mi correo electro nico y no me deja entrar a la pa gina de claro que puedo hacer gracias,pregunta gran inconveniente quedo mal registrado correo electro nico deja entrar gina puedo hacer gracias,Experiencia General de Marca,POSITIVO,0.85
UgzDWZU3TvYQuRD6YBl4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@con.vara.o.sin.vara7,DENUNCIES ESA APLICACION NO SIRVE PARA NADA. A VECES SE PUEDE ABRIR OTRAS NO. HACE PERDER TU TIEMPO.,2021-12-07T22:23:56Z,0,0,Facturación y Tarifas,denuncies esa aplicacion no sirve para nada a veces se puede abrir otras no hace perder tu tiempo,denuncies aplicacion sirve veces puede abrir hace perder tiempo,Experiencia General de Marca,NEUTRO,0.6
UgwaNFdWkiVkLELLDYR4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@astrymejias5551,Pero si ya cree mi cuenta como edito mis datos personales,2021-12-04T03:32:17Z,2,0,Red Móvil y Cobertura 5G,pero si ya cree mi cuenta como edito mis datos personales,cree cuenta edito datos personales,Red Móvil y Cobertura 5G,NEUTRO,0.6
Ugzp_omIPqJKW2iA7Zd4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@michelrivas3953,Se puede recargar otro celular con el saldo del celular ?,2021-11-08T14:46:59Z,0,1,Facturación y Tarifas,se puede recargar otro celular con el saldo del celular,puede recargar celular saldo celular,Facturación y Tarifas,NEUTRO,0.6
UgwuS22sMfAS4T_9tqx4AaABAg,j4yz4sOJbyQ,COMO CONFIGURAR EL APN CLARO  REPUBLICA DOMINICANA 2021,Claro RD,@SpanishOverTea,"El Internet me funciona, pero no me llegan SMS de verificación. Cómo puedo solucionarlo?",2021-11-07T19:37:35Z,1,3,Fibra Óptica e Internet Hogar,el internet me funciona pero no me llegan sms de verificacio n co mo puedo solucionarlo,internet funciona llegan sms verificacio puedo solucionarlo,Fibra Óptica e Internet Hogar,NEUTRO,0.6
Ugz2y01cx0166tB9GEx4AaABAg,UOa45Reidps,Lanzamiento 5G | Altice Dominicana,Claro RD,@desdecero2076,"Si nos cobran un riñón con 4G imagínate con 5G. Total, nunca ofrecen la velocidad mínima del 4G y menos la exorbitante velocidad del 5G. Ya que vivimos en un País dónde no hay leyes para esto... Lamentablemente.",2021-11-05T13:19:45Z,5,0,Red Móvil y Cobertura 5G,si nos cobran un rin o n con g imagi nate con g total nunca ofrecen la velocidad mi nima del g y menos la exorbitante velocidad del g ya que vivimos en un pai s do nde no hay leyes para esto lamentablemente,cobran rin imagi nate total nunca ofrecen velocidad nima menos exorbitante velocidad vivimos pai nde leyes lamentablemente,Red Móvil y Cobertura 5G,NEUTRO,0.6
Ugwhkx8nEz1jPFBeMdp4AaABAg,UOa45Reidps,Lanzamiento 5G | Altice Dominicana,Claro RD,@pplusplay1496,👍👍,2021-11-05T13:13:05Z,2,0,Red Móvil y Cobertura 5G,,,Experiencia General de Marca,NEUTRO,0.5
UgyqF3H4jFja1pRXO9F4AaABAg,UOa45Reidps,Lanzamiento 5G | Altice Dominicana,Claro RD,@speedtouchtech,Pónganse para eso,2021-11-05T13:12:01Z,2,0,Red Móvil y Cobertura 5G,po nganse para eso,nganse,Experiencia General de Marca,NEUTRO,0.6
UgzfdX0KlObkoVOLMO14AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@carlosbravo2396,Como elimino mi cuenta?,2021-11-05T02:30:49Z,0,0,Facturación y Tarifas,como elimino mi cuenta,elimino cuenta,Experiencia General de Marca,NEUTRO,0.6
UgzG1KKN7cC9N3HSyDB4AaABAg,L0mPhRFp0lo,"Como registrarse en Mi Claro, abre una cuenta en mi claro y paga tus facturas, recarga saldo y más 😎",Claro RD,@silver.zc1,una vez activo se pueden hacer compras en play store?,2021-10-20T08:29:05Z,0,1,Facturación y Tarifas,una vez activo se pueden hacer compras en play store,vez activo pueden hacer compras play store,Experiencia General de Marca,NEUTRO,0.6
UgxmzPKbGhwHxqrZ40p4AaABAg,j4yz4sOJbyQ,COMO CONFIGURAR EL APN CLARO  REPUBLICA DOMINICANA 2021,Claro RD,@daysifeliz3611,Muy bien,2021-10-06T23:27:15Z,1,1,Red Móvil y Cobertura 5G,muy bien,bien,Experiencia General de Marca,NEUTRO,0.6
